Flow_Timeout(s),Lambda_Rate(packets/s),Average_Delay(s)
1.0,0.01,1.9318055358944959
1.0,0.02,1.8959246822089955
1.0,0.03,1.9021554501392939
1.0,0.04,1.8958516029652293
1.0,0.05,1.8295712270534508
1.0,0.060000000000000005,1.81011388000101
1.0,0.06999999999999999,1.834758755041692
1.0,0.08,1.8339881825833264
1.0,0.09,1.8108866212806434
1.0,0.09999999999999999,1.8631426735829548
1.0,0.11,1.7976841656530507
1.0,0.12,1.7039208977589657
1.0,0.13,1.7420248542128958
1.0,0.14,1.699266068934711
1.0,0.15000000000000002,1.7270632591793367
1.0,0.16,1.6928970445258398
1.0,0.17,1.6939379043969744
1.0,0.18000000000000002,1.6891429646589973
1.0,0.19,1.667551109102973
1.0,0.2,1.6573797082704067
1.0,0.21000000000000002,1.6397784753749147
1.0,0.22,1.6627768644444558
1.0,0.23,1.610094031790443
1.0,0.24000000000000002,1.6179804967782523
1.0,0.25,1.6271859789375627
1.0,0.26,1.5616616953335747
1.0,0.27,1.6139086396789417
1.0,0.28,1.5827639940542417
1.0,0.29000000000000004,1.5948707075314177
1.0,0.3,1.5520076663648934
1.0,0.31,1.5543137116096493
1.0,0.32,1.5723056359714098
1.0,0.33,1.5381747842082047
1.0,0.34,1.5088720126133335
1.0,0.35000000000000003,1.5061198804873501
1.0,0.36000000000000004,1.5428898685900967
1.0,0.37,1.5342857813145678
1.0,0.38,1.5081401373471548
1.0,0.39,1.476221067078925
1.0,0.4,1.4998147187732167
1.0,0.41000000000000003,1.498204998192442
1.0,0.42000000000000004,1.4693218962625674
1.0,0.43,1.448161892010528
1.0,0.44,1.4417860720276319
1.0,0.45,1.444574129828562
1.0,0.46,1.4569622260366317
1.0,0.47000000000000003,1.434853151166713
1.0,0.48000000000000004,1.4316711552228263
1.0,0.49,1.4002460536620787
1.0,0.5,1.4562505880077163
1.0,0.51,1.4041846460166538
1.0,0.52,1.4061184258997481
1.0,0.53,1.3904444465420214
1.0,0.54,1.4584757877748684
1.0,0.55,1.3896870764702776
1.0,0.56,1.3962353806364578
1.0,0.5700000000000001,1.3673442239808897
1.0,0.5800000000000001,1.412133646757866
1.0,0.59,1.3917209902461818
1.0,0.6,1.373525237113628
1.0,0.61,1.3530944900974526
1.0,0.62,1.3428592316689256
1.0,0.63,1.3482594352753887
1.0,0.64,1.3506086856017128
1.0,0.65,1.3294818128625436
1.0,0.66,1.382317767934458
1.0,0.67,1.3462350593388335
1.0,0.68,1.3383142427708852
1.0,0.6900000000000001,1.3400184948765614
1.0,0.7000000000000001,1.3819495381347782
1.0,0.7100000000000001,1.3749864355175854
1.0,0.72,1.3315195783315297
1.0,0.73,1.3559751942819165
1.0,0.74,1.3337001542593878
1.0,0.75,1.3445554869528167
1.0,0.76,1.3521036257443797
1.0,0.77,1.291626827185057
1.0,0.78,1.3106777841699917
1.0,0.79,1.2864786416937624
1.0,0.8,1.311234390551064
1.0,0.81,1.320873431360518
1.0,0.8200000000000001,1.2946210074761917
1.0,0.8300000000000001,1.3023436127993329
1.0,0.8400000000000001,1.2924899019911942
1.0,0.85,1.285528449585042
1.0,0.86,1.2580835090655285
1.0,0.87,1.3233103816766678
1.0,0.88,1.3048056000207302
1.0,0.89,1.2722197139151024
