# pcap,trace_1.pcap (not included in repository)
# idle_timeout_s,1
# interval_s,1
# packets_read,934389
# packets_with_ipv4,911425

time_s,sft_size
0.000000,0
1.000000,310
2.000000,364
3.000000,327
4.000000,303
5.000000,255
6.000000,312
7.000000,400
8.000000,317
9.000000,341
10.000000,287
11.000000,314
12.000000,278
13.000000,268
14.000000,335
15.000000,283
16.000000,238
17.000000,301
18.000000,296
19.000000,429
20.000000,277
21.000000,348
22.000000,340
23.000000,380
24.000000,279
25.000000,378
26.000000,280
27.000000,307
28.000000,351
29.000000,345
30.000000,296
31.000000,329
32.000000,356
33.000000,337
34.000000,292
35.000000,304
36.000000,323
37.000000,269
38.000000,320
39.000000,307
40.000000,378
41.000000,271
42.000000,279
43.000000,292
44.000000,340
45.000000,347
46.000000,371
47.000000,254
48.000000,416
49.000000,326
50.000000,393
51.000000,310
52.000000,447
53.000000,387
54.000000,262
55.000000,295
56.000000,318
57.000000,408
58.000000,356
59.000000,321
60.000000,322
61.000000,368
62.000000,290
63.000000,282
64.000000,312
65.000000,439
66.000000,512
67.000000,420
68.000000,410
69.000000,428
70.000000,418
71.000000,589
72.000000,382
73.000000,414
74.000000,333
75.000000,259
76.000000,339
77.000000,275
78.000000,327
79.000000,362
80.000000,300
81.000000,340
82.000000,344
83.000000,359
84.000000,311
85.000000,309
86.000000,278
87.000000,272
88.000000,312
89.000000,354
90.000000,308
91.000000,320
92.000000,348
93.000000,333
94.000000,387
95.000000,273
96.000000,298
97.000000,333
98.000000,387
99.000000,311
100.000000,301
101.000000,315
102.000000,318
103.000000,285
104.000000,354
105.000000,310
106.000000,300
107.000000,342
108.000000,384
109.000000,365
110.000000,332
111.000000,342
112.000000,349
113.000000,350
114.000000,263
115.000000,326
116.000000,290
117.000000,266
118.000000,377
119.000000,359
120.000000,314
121.000000,388
122.000000,284
123.000000,333
124.000000,349
125.000000,283
126.000000,332
127.000000,358
128.000000,440
129.000000,373
130.000000,310
131.000000,294
132.000000,287
133.000000,303
134.000000,320
135.000000,342
136.000000,268
137.000000,306
138.000000,347
139.000000,397
140.000000,292
141.000000,425
142.000000,377
143.000000,390
144.000000,280
145.000000,390
146.000000,308
147.000000,335
148.000000,361
149.000000,286
150.000000,378
151.000000,333
152.000000,360
153.000000,352
154.000000,333
155.000000,333
156.000000,299
157.000000,246
158.000000,380
159.000000,345
160.000000,332
161.000000,361
162.000000,317
163.000000,308
164.000000,337
165.000000,384
166.000000,528
167.000000,317
168.000000,342
169.000000,304
170.000000,359
171.000000,339
172.000000,459
173.000000,339
174.000000,323
175.000000,337
176.000000,312
177.000000,398
178.000000,380
179.000000,343
180.000000,311
181.000000,339
182.000000,333
183.000000,336
184.000000,300
185.000000,282
186.000000,549
187.000000,334
188.000000,284
189.000000,324
190.000000,384
191.000000,529
192.000000,349
193.000000,405
194.000000,336
195.000000,300
196.000000,332
197.000000,235
198.000000,338
199.000000,340
200.000000,274
201.000000,335
202.000000,311
203.000000,330
204.000000,372
205.000000,307
206.000000,294
207.000000,344
208.000000,325
209.000000,240
210.000000,321
211.000000,314
212.000000,339
213.000000,297
214.000000,355
215.000000,285
216.000000,265
217.000000,263
218.000000,361
219.000000,380
220.000000,306
221.000000,290
222.000000,332
223.000000,302
224.000000,271
225.000000,306
226.000000,270
227.000000,304
228.000000,341
229.000000,301
230.000000,328
231.000000,318
232.000000,368
233.000000,354
234.000000,228
235.000000,292
236.000000,294
237.000000,247
238.000000,335
239.000000,403
240.000000,302
241.000000,343
242.000000,312
243.000000,299
244.000000,305
245.000000,298
246.000000,292
247.000000,325
248.000000,390
249.000000,389
250.000000,284
251.000000,294
252.000000,274
253.000000,290
254.000000,279
255.000000,312
256.000000,299
257.000000,246
258.000000,368
259.000000,303
260.000000,287
261.000000,378
262.000000,314
263.000000,413
264.000000,346
265.000000,330
266.000000,332
267.000000,258
268.000000,339
269.000000,290
270.000000,366
271.000000,314
272.000000,320
273.000000,343
274.000000,320
275.000000,319
276.000000,291
277.000000,245
278.000000,351
279.000000,325
280.000000,325
281.000000,326
282.000000,267
283.000000,308
284.000000,289
285.000000,329
286.000000,331
287.000000,400
288.000000,317
289.000000,347
290.000000,279
291.000000,340
292.000000,379
293.000000,371
294.000000,323
295.000000,283
296.000000,363
297.000000,391
298.000000,431
299.000000,369
300.000000,300
301.000000,363
302.000000,289
303.000000,335
304.000000,316
305.000000,303
306.000000,536
307.000000,370
308.000000,348
309.000000,326
310.000000,424
311.000000,435
